,name,price,location
0,2017 Toyota KIJANG INNOVA REBORN VENTURER DIESEL 2.4,380.000.000,"Carsome Pondok Indah, Jakarta Selatan"
1,2020 Toyota KIJANG INNOVA G 2.0,319.000.000,"Carsome Pondok Indah, Jakarta Selatan"
2,2016 Suzuki KARIMUN GS 1.0,83.500.000,"Carsome Alam Sutera, Jakarta Selatan"
3,2015 Honda JAZZ RS 1.5,186.000.000,"Carsome Alam Sutera, Jakarta Selatan"
4,2018 Honda BRIO RS 1.2,153.000.000,"Carsome Alam Sutera, Tangerang Selatan"
5,2017 Honda CR-V  2.0,333.000.000,"Carsome Alam Sutera, Jakarta Selatan"
6,2018 Suzuki BALENO HATCHBACK 1.5,159.000.000,"Carsome Alam Sutera, Tangerang Selatan"
7,2018 Daihatsu TERIOS R 1.5,205.000.000,"Carsome Alam Sutera, Tangerang Selatan"
8,2013 Nissan SERENA HIGHWAY STAR 2.0,165.500.000,"Carsome Pondok Indah, Jakarta Selatan"
9,2018 Honda HR-V E 1.5,271.000.000,"Carsome Pondok Indah, Jakarta Selatan"
10,2016 Honda BR-V E PRESTIGE 1.5,176.500.000,"Carsome Pondok Indah, Jakarta Selatan"
11,2018 Toyota RUSH S TRD 1.5,234.000.000,"Carsome Pondok Indah, Jakarta Selatan"
12,2018 Honda BRIO RS 1.2,153.000.000,"Carsome Alam Sutera, Tangerang Selatan"
13,2016 Honda CR-V PRESTIGE 2.4,326.000.000,"Carsome Pondok Indah, Jakarta Selatan"
14,2018 Honda HR-V E 1.5,279.000.000,"Carsome Alam Sutera, Jakarta Selatan"
15,2019 Nissan LIVINA VL 1.5,224.000.000,"Carsome Pondok Indah, Jakarta Selatan"
16,2017 Mitsubishi PAJERO SPORT DAKAR 4X2 2.4,423.000.000,"Carsome Alam Sutera, Jakarta Selatan"
17,2016 Toyota FORTUNER VRZ 2.4,389.000.000,"Carsome Pondok Indah, Jakarta Selatan"
18,2016 Suzuki ERTIGA DREZA 1.4,152.000.000,"Carsome Alam Sutera, Jakarta Selatan"
19,2020 Toyota RUSH S TRD SPORTIVO 1.5,243.000.000,"Carsome Alam Sutera, Jakarta Selatan"
20,2015 Toyota AVANZA G 1.3,128.000.000,"Carsome Alam Sutera, Jakarta Selatan"
21,2019 Mitsubishi XPANDER CROSS 1.5,241.000.000,"Carsome Pondok Indah, Jakarta Selatan"
22,2018 Mitsubishi XPANDER ULTIMATE 1.5,221.000.000,"Carsome Alam Sutera, Jakarta Selatan"
23,2020 Mitsubishi XPANDER CROSS PREMIUM 1.5,273.000.000,"Carsome Alam Sutera, Jakarta Selatan"
24,2020 Honda HR-V S 1.5,280.000.000,"Carsome Pondok Indah, Jakarta Selatan"
25,2018 Toyota AGYA G TRD 1.2,124.000.000,"Carsome Pondok Indah, Jakarta Selatan"
26,2019 Toyota RUSH S 1.5,235.000.000,"Carsome Pondok Indah, Jakarta Selatan"
27,2017 Honda BRIO RS 1.2,139.000.000,"Carsome Alam Sutera, Jakarta Selatan"
28,2014 Toyota FORTUNER G 2.5,280.000.000,"Carsome Alam Sutera, Jakarta Selatan"
29,2018 Suzuki ERTIGA GX 1.5,175.000.000,"Carsome Alam Sutera, Jakarta Selatan"
30,2015 Honda HR-V E 1.5,209.000.000,"Carsome Pondok Indah, Jakarta Selatan"
31,2014 Toyota AGYA TRD SPORTIVO 1.0,86.000.000,"Carsome Alam Sutera, Tangerang Selatan"
